review_id,review_text,rating,category,review_date
REV_0001,"It works okay, but nothing extraordinary. Standard performance.",3,Clothing,2026-03-04
REV_0002,"Extremely comfortable, fits perfectly and looks amazing. The character development and psychological tension were amazing.",4,Books,2026-06-01
REV_0003,Highly recommend to anyone looking for high quality and great performance. Battery life is exceptional and the UI is incredibly smooth.,4,Electronics,2026-03-01
REV_0004,"It works okay, but nothing extraordinary. Standard performance. The battery lasts a day, which is just standard nowadays.",3,Electronics,2026-06-16
REV_0005,Customer service was completely unhelpful when I asked for a return.,2,Home & Kitchen,2026-05-31
REV_0006,Fantastic value for money. The build quality is exceptional.,4,Home & Kitchen,2026-03-29
REV_0007,An absolute page-turner! I couldn't put it down. The character development and psychological tension were amazing.,4,Books,2026-01-24
REV_0008,An absolute page-turner! I couldn't put it down.,5,Clothing,2026-01-12
REV_0009,"Extremely uncomfortable, shrunk after the very first wash. The pacing was terrible and the characters were flat.",1,Books,2026-05-22
REV_0010,"Very efficient, saves me so much time daily. A great buy. Battery life is exceptional and the UI is incredibly smooth.",5,Electronics,2026-06-30
REV_0011,Super fast delivery and brilliant functionality. 5 stars! The character development and psychological tension were amazing.,4,Books,2026-03-01
REV_0012,Do not buy! The description is completely misleading.,2,Home & Kitchen,2026-06-12
REV_0013,The plot made absolutely no sense and the ending was highly frustrating.,1,Clothing,2026-02-23
REV_0014,"Average quality for the price. Not bad, but not great either. The battery lasts a day, which is just standard nowadays.",3,Electronics,2026-05-17
REV_0015,Terribly slow and glitchy. It keeps crashing every few minutes.,1,Home & Kitchen,2026-03-11
REV_0016,The plot made absolutely no sense and the ending was highly frustrating. The pacing was terrible and the characters were flat.,1,Books,2026-02-28
REV_0017,"Extremely uncomfortable, shrunk after the very first wash.",2,Clothing,2026-01-17
REV_0018,A masterclass in design. Works seamlessly right out of the box.,5,Home & Kitchen,2026-04-12
REV_0019,"The quality is extremely poor, feels cheap and fragile.",2,Clothing,2026-02-05
REV_0020,"Very efficient, saves me so much time daily. A great buy.",5,Home & Kitchen,2026-05-30
REV_0021,Fantastic value for money. The build quality is exceptional.,4,Home & Kitchen,2026-01-24
REV_0022,"The quality is extremely poor, feels cheap and fragile. It overheats constantly and the screen resolution is awful.",1,Electronics,2026-06-24
REV_0023,The plot twists kept me guessing until the very last page.,4,Home & Kitchen,2026-06-02
REV_0024,Very poor design choice. It is highly unintuitive to use. The pacing was terrible and the characters were flat.,2,Books,2026-06-24
REV_0025,The plot made absolutely no sense and the ending was highly frustrating. The pacing was terrible and the characters were flat.,2,Books,2026-03-17
